Gamemode,Date,Time,Result,Score Before,Score After,Start Color,Comments
Blitz-5,2022-11-24,22:31,L,743,716,Black,Even loss
Blitz-5,2022-11-24,22:30,W,716,728,Black,Opponent blundered queen and resigned
Blitz-5,2022-11-24,22:47,L,728,713,Black,Mid game pressure loss
Blitz-5,2022-11-24,22:55,W,713,728,White,Mid game pressure win
Blitz-5,2022-11-24,23:01,L,728,714,Black,Solid loss mid-late stage
Blitz-5,2022-11-24,23:10,W,714,727,White,Won on time with 1 second left
Blitz-5,2022-11-27,16:52,W,727,740,White,"Tried to attach king side, opponent blundered queen and resigned"
Blitz-5,2022-11-27,17:04,L,740,726,White,Wasn’t paying attention at the end
Blitz-5,2022-11-27,17:11,L,726,715,White,Lost end game with pawns
Blitz-5,2022-11-27,17:21,W,715,726,Black,Was overall losing but opponent ran out of time
Blitz-5,2022-11-28,19:13,L,726,715,White,"Early attack, lost by pressure mid game"
Blitz-5,2022-11-28,19:20,L,715,703,White,"Lost to time, even game"
Blitz-5,2022-11-28,19:31,L,703,693,Black,"Even game, lost near the end on pressure"
Blitz-5,2022-11-28,19:45,L,693,683,Black,"Even game, nearly won on time but blundered at the end"
Blitz-5,2022-11-28,19:48,L,683,675,Black,Total loss
Blitz-5,2022-11-28,19:55,L,675,664,Black,Winning all game and blunder at the end
Blitz-5,2022-11-28,20:03,W,664,674,Black,Winning all game and won at the end on time
Blitz-5,2022-11-28,20:33,W,674,682,White,"Even game, won with 2 seconds left"
Blitz-5,2022-11-30,18:39,W,682,691,White,"Aggressive game went well, won on time"
Blitz-5,2022-11-30,18:50,W,691,700,White,"Mid game mate, opponent castled into corner"
Blitz-5,2022-11-30,18:57,W,700,708,Black,"Aggressive openning, opponnent resigned on pressure"
Blitz-5,2022-11-30,19:05,L,708,699,White,"Mid game loss, good game"
Blitz-5,2022-11-30,19:11,W,699,707,Black,"Aggressive mid game, even position but won on time"
